------------------------------------------------query1-----------------------------------------------

        a        |        b        
-----------------+-----------------
 randizuckerberg | mattcohler
 jack            | pschiller
 btaylor         | karaswisher
 TEDchris        | aplusk
 karaswisher     | joshk
 markpinc        | kevinrose
 lizblankenship  | irvingreid
 pkedrosky       | longreads
 mcuban          | sacca
 drscan          | flaps
 erickschonfeld  | adamdangelo
 bhorowitz       | Oprah
 pud             | iamwill
 naval           | biz
 Caterina        | biz
 jeff            | ycombinator
 sarahcuda       | BradStone
 peterpham       | adamdangelo
 pchelinn        | cssu
 shawnfanning    | joshk
 davidhornik     | tristanwalker
 cshirky         | longreads
 bijan           | foundersatwork
 karaswisher     | mcuban
 lessig          | zittrain
 karaswisher     | rabois
 VevWong         | wolever
 jeff            | m2jr
 adamlashinsky   | adambain
 KatieS          | finkd
 rabois          | Caterina
 eladgil         | aplusk
 mmccue          | bgarlinghouse
 flaps           | yorchopolis
 Oprah           | aplusk
 dickc           | mmccue
 shawnfanning    | SteveCase
 dickc           | btaylor
 mlevchin        | joshu
 Caterina        | finkd
 drewhouston     | mattcohler
 btaylor         | ycombinator
 BradStone       | mmccue
 Harjeet         | eladgil
 ericschmidt     | algore
 JasonHirschhorn | btaylor
 kevin           | RonConwayFacts
 pierre          | QueenRania
 satishd         | ccheever
 fredwilson      | HowardStern
 om              | alexia
 vkhosla         | jack
 mkapor          | satishd
 m2jr            | iamwill
 gvwilson        | bwinton
 bijan           | dickc
 satishd         | fredwilson
 paulg           | quixotic
 spolsky         | Caterina
 JVascellaro     | ccheever
 markpinc        | ariannahuff
 peterfenton     | adamlashinsky
 ev              | kn0thing
 nickbilton      | McAndrew
 sacca           | msuster
 zephoria        | amac
 om              | ccheever
 hblodget        | JVascellaro
 btaylor         | mattcutts
 karaswisher     | Joi
 ariannahuff     | Oprah
 shazow          | marissamayer
 Joseph_Y        | gvwilson
 marissamayer    | JVascellaro
 mkapor          | Gladwell
 bgurley         | dannyrimer
 mkapor          | erickschonfeld
 karenreid       | jobias
 katiecouric     | biz
 satishd         | kevinrose
 shawnfanning    | Joi
 biz             | stop
 mcuban          | mkapor
 johndoerr       | davemorin
 naval           | msuster
 Harjeet         | andrewmason
 adamlashinsky   | joshu
 JVascellaro     | ariannahuff
 garrytan        | lessig
 rtulk           | pgries
 McAndrew        | SteveMartinToGo
 tristanwalker   | kevin
 erickschonfeld  | shervin
 shazow          | notch
 karenreid       | wolever
 bgarlinghouse   | SteveCase
 TEDchris        | BradStone
 jddimarco       | lhawthorn
 eladgil         | foundersatwork
 karaswisher     | erhanerdogan
 kevinrose       | bgurley
 peterpham       | shervin
 joshk           | stevebmicrosoft
 pierre          | Dropbox
 fredwilson      | SteveMartinToGo
 spolsky         | mlevchin
 karaswisher     | elatable
 ericries        | jeff
 marissamayer    | pierre
 parislemon      | pschiller
 fosslc          | mkapor
 lessig          | Caterina
 marissamayer    | edyson
 karaswisher     | jeff
 lessig          | pierre
 drewhouston     | dickc
 johndoerr       | ev
 hblodget        | KatieS
 marissamayer    | Caterina
 satishd         | davidhornik
 asenkut         | TechCrunch
 davidhornik     | erhanerdogan
 ericschmidt     | mattcutts
 RonConway       | iamwill
 MarcBodnick     | brianp
 SteveCase       | davemorin
 marissamayer    | Scobleizer
 mattcohler      | quixotic
 gvwilson        | adamgoucher
 rabois          | peterpham
 karenreid       | yorchopolis
 cdixon          | dannyrimer
 joelcrocker     | finkd
 btaylor         | SarahKSilverman
